system:index,Block,BlockID,FragSize,Hunted,PointID,Site,SiteID,SizeClass,Year,blue,date,evi,green,image,mask,ndvi,nir,path,red,row,satellite,sr,swir1,swir2,tcg,.geo
00000000000000000063_2_LC08_013031_20170402,Beaver_Brook,BB,28.6323,false,BB_BBS_5,Beaver_Brook_small,BBS,small,2017,0.028999999165534973,2017-04-02,0.25568852846232576,0.042899999767541885,2_LC08_013031_20170402,1.0,0.5596725344657898,0.1809999942779541,13.0,0.051100000739097595,31.0,LANDSAT_8,3.54207444190979,0.18459999561309814,0.10819999873638153,0.08607641018271923,"{""type"":""Point"",""coordinates"":[-72.12342231098766,41.76687009596621]}"
00000000000000000063_1_2_LE07_013031_20170410,Beaver_Brook,BB,28.6323,false,BB_BBS_5,Beaver_Brook_small,BBS,small,2017,0.05480000004172325,2017-04-10,0.23150377146525436,0.06620000302791595,1_2_LE07_013031_20170410,1.0,0.4270910322666168,0.19280000030994415,13.0,0.07739999890327454,31.0,LANDSAT_7,2.4909560680389404,0.21529999375343323,0.12759999930858612,0.06895380009997845,"{""type"":""Point"",""coordinates"":[-72.12342231098766,41.76687009596621]}"
00000000000000000063_2_LC08_012031_20170411,Beaver_Brook,BB,28.6323,false,BB_BBS_5,Beaver_Brook_small,BBS,small,2017,99.0,2017-04-11,99.0,99.0,2_LC08_012031_20170411,0.0,99.0,99.0,12.0,99.0,31.0,LANDSAT_8,99.0,99.0,99.0,99.0,"{""type"":""Point"",""coordinates"":[-72.12342231098766,41.76687009596621]}"
00000000000000000063_2_LC08_013031_20170418,Beaver_Brook,BB,28.6323,false,BB_BBS_5,Beaver_Brook_small,BBS,small,2017,0.030799999833106995,2017-04-18,0.27886420525657074,0.046300001442432404,2_LC08_013031_20170418,1.0,0.5763944983482361,0.19499999284744263,13.0,0.052400000393390656,31.0,LANDSAT_8,3.721374034881592,0.20640000700950623,0.11909999698400497,0.0937234904361129,"{""type"":""Point"",""coordinates"":[-72.12342231098766,41.76687009596621]}"
00000000000000000063_1_2_LE07_012031_20170419,Beaver_Brook,BB,28.6323,false,BB_BBS_5,Beaver_Brook_small,BBS,small,2017,0.07479999959468842,2017-04-19,0.26644816703083274,0.08959999680519104,1_2_LE07_012031_20170419,1.0,0.40938761830329895,0.22669999301433563,12.0,0.0949999988079071,31.0,LANDSAT_7,2.3863158226013184,0.23880000412464142,0.14869999885559082,0.07432834016548158,"{""type"":""Point"",""coordinates"":[-72.12342231098766,41.76687009596621]}"
00000000000000000063_2_LC08_013031_20170504,Beaver_Brook,BB,28.6323,false,BB_BBS_5,Beaver_Brook_small,BBS,small,2017,99.0,2017-05-04,99.0,99.0,2_LC08_013031_20170504,0.0,99.0,99.0,13.0,99.0,31.0,LANDSAT_8,99.0,99.0,99.0,99.0,"{""type"":""Point"",""coordinates"":[-72.12342231098766,41.76687009596621]}"
00000000000000000063_1_2_LE07_013031_20170512,Beaver_Brook,BB,28.6323,false,BB_BBS_5,Beaver_Brook_small,BBS,small,2017,99.0,2017-05-12,99.0,99.0,1_2_LE07_013031_20170512,0.0,99.0,99.0,13.0,99.0,31.0,LANDSAT_7,99.0,99.0,99.0,99.0,"{""type"":""Point"",""coordinates"":[-72.12342231098766,41.76687009596621]}"
00000000000000000063_2_LC08_013031_20170520,Beaver_Brook,BB,28.6323,false,BB_BBS_5,Beaver_Brook_small,BBS,small,2017,99.0,2017-05-20,99.0,99.0,2_LC08_013031_20170520,0.0,99.0,99.0,13.0,99.0,31.0,LANDSAT_8,99.0,99.0,99.0,99.0,"{""type"":""Point"",""coordinates"":[-72.12342231098766,41.76687009596621]}"
00000000000000000063_1_2_LE07_012031_20170521,Beaver_Brook,BB,28.6323,false,BB_BBS_5,Beaver_Brook_small,BBS,small,2017,99.0,2017-05-21,99.0,99.0,1_2_LE07_012031_20170521,0.0,99.0,99.0,12.0,99.0,31.0,LANDSAT_7,99.0,99.0,99.0,99.0,"{""type"":""Point"",""coordinates"":[-72.12342231098766,41.76687009596621]}"
00000000000000000063_1_2_LE07_013031_20170613,Beaver_Brook,BB,28.6323,false,BB_BBS_5,Beaver_Brook_small,BBS,small,2017,99.0,2017-06-13,99.0,99.0,1_2_LE07_013031_20170613,0.0,99.0,99.0,13.0,99.0,31.0,LANDSAT_7,99.0,99.0,99.0,99.0,"{""type"":""Point"",""coordinates"":[-72.12342231098766,41.76687009596621]}"
