system:index,Block,BlockID,FragSize,Hunted,PointID,Site,SiteID,SizeClass,Year,m_evi_2000_2010_h12_16d,m_evi_2000_2010_h12_full,m_evi_2000_2010_h13_16d,m_evi_2000_2010_h13_full,m_evi_2005_2015_h12_16d,m_evi_2005_2015_h12_full,m_evi_2005_2015_h13_16d,m_evi_2005_2015_h13_full,m_ndvi_2000_2010_h12_16d,m_ndvi_2000_2010_h12_full,m_ndvi_2000_2010_h13_16d,m_ndvi_2000_2010_h13_full,m_ndvi_2005_2015_h12_16d,m_ndvi_2005_2015_h12_full,m_ndvi_2005_2015_h13_16d,m_ndvi_2005_2015_h13_full,m_reanalysis,m_sr_2000_2010_h12_16d,m_sr_2000_2010_h12_full,m_sr_2000_2010_h13_16d,m_sr_2000_2010_h13_full,m_sr_2005_2015_h12_16d,m_sr_2005_2015_h12_full,m_sr_2005_2015_h13_16d,m_sr_2005_2015_h13_full,m_tcg_2000_2010_h12_16d,m_tcg_2000_2010_h12_full,m_tcg_2000_2010_h13_16d,m_tcg_2000_2010_h13_full,m_tcg_2005_2015_h12_16d,m_tcg_2005_2015_h12_full,m_tcg_2005_2015_h13_16d,m_tcg_2005_2015_h13_full,.geo
00000000000000000076,BishopSwamp,BS,560.578,false,BS_GCL_6,GayCityStatePark,GCL,large,2017,-2.409627254854587,-2.204846861861607,-2.349551694293183,-1.9510593429383563,-2.0134583635760728,-1.9352499827701108,-2.0134403419533395,-1.8928985432338257,-1.4582318664250107,-1.330555308072897,-1.5647670326726943,-1.307671254410896,-1.4570596319326636,-1.2847220774485764,-1.9239676187038743,-1.5443444895461549,-2.158310137296978,-2.355165702753167,-2.0631353661149485,-2.1251085830187892,-1.687019355865053,-3.044273994603157,-2.5462678160808285,-2.806925026992991,-2.1829691143988676,-2.3824744633797366,-2.1779758609888846,-2.421983619512607,-1.9692957152931698,-2.2694730430809593,-2.1661409511458554,-2.3808650194054923,-2.1815786389432543,"{""type"":""Point"",""coordinates"":[-72.45475581476396,41.7228498503666]}"
00000000000000000077,BishopSwamp,BS,560.578,false,BS_GCL_7,GayCityStatePark,GCL,large,2017,-2.2505407231969827,-2.199619361974906,-2.248377787252176,-2.0184451365826788,-1.8915451454615981,-1.8813843213904968,-1.9160994842201948,-1.8457290498574255,-1.3999829701253512,-1.2305099877104462,-1.5052434685851432,-1.2116106461458405,-1.5037360262061688,-1.2811029165135206,-1.9117948985117872,-1.4678377898786985,-2.732454299926758,-2.280433237621684,-1.9966616374108463,-2.027529863929932,-1.6019999152249336,-3.0762212288459607,-2.475716976266862,-2.7174219724383257,-2.0656199060832807,-2.32085675607713,-2.2630396775066517,-2.376039448961541,-2.0879524878564375,-2.266532661296315,-2.2050944683253872,-2.342479144933733,-2.192028987479957,"{""type"":""Point"",""coordinates"":[-72.45330660692159,41.72255109059602]}"
0000000000000000003e,Wallingford,WF,422.8,false,WF_SGL_8,Sleeping_Giant,SGL,large,2017,0.010148743405270402,-0.05905127114453208,0.5866397061894058,0.23753756344561427,-0.2561324648639137,-0.005191260066787329,0.17875591329622487,0.2703641704181435,-0.07534075656969826,0.08204838949029777,0.30832617470344464,0.2261494789794715,-0.0795036357846327,0.044560994287132547,0.08537310040177779,0.16247622018044322,0.20606689982944065,1.108422747058285,0.40213267357059995,1.607144819447192,0.623604731873622,-0.03327239036643585,0.03983463070701884,0.35661354953043534,0.29262525246091575,-0.057703931846243575,-0.07285525322142447,0.5716047837801463,0.24000814405961796,-0.3337165948276438,-0.07740461639031004,0.13614005149849195,0.2070063973577073,"{""type"":""Point"",""coordinates"":[-72.87693904340318,41.43909495483056]}"
0000000000000000003f,Wallingford,WF,422.8,false,WF_SGL_9,Sleeping_Giant,SGL,large,2017,0.06252862770058727,0.03175121808816666,0.8414406987085322,0.4408007360465347,-0.19982186702613028,-0.11656978508574979,0.06366410752659012,0.07233803747401825,-0.012454664263700597,0.05873932144569255,0.6994685239998398,0.39149025855584757,0.05480730622527636,0.03185043561683787,0.21503716528786193,0.10908676984033305,0.045568267504374184,1.2769593803868362,0.6169485367508284,1.758428530368359,0.8290132970550629,0.25871015727797975,0.06572498549955542,0.565794763137744,0.26304364294959226,0.08005007322785233,0.06785414236284544,0.8845722629581845,0.4970119483984586,-0.1932212424929036,-0.1359336281690675,0.06360232554771063,0.045068855069195425,"{""type"":""Point"",""coordinates"":[-72.87715308025373,41.44161434692576]}"
0000000000000000003d,Wallingford,WF,422.8,false,WF_SGL_10,Sleeping_Giant,SGL,large,2017,-0.15736278082418925,-0.03744110547881818,0.5174230612308792,0.24434794016563652,-0.22724427387420135,-0.06098913791842712,0.15669735150494857,0.11112375224863448,-0.0387648021967562,0.07373429774535134,0.6402361684298953,0.2941003073949574,-0.06147532154654213,0.06953693575618845,0.255902597938058,0.21968938259397972,0.043436743319034576,0.8178865146302543,0.1476043919082662,1.22782576428407,0.30381017957527423,-0.18422981211325587,-0.32320764122010875,0.1810877905511745,-0.09753007806723406,-0.14165586415372497,0.02104716283140167,0.6165015325854665,0.35459680179441355,-0.2504852700296,-0.12067740162455924,0.12997611460920258,0.0482572111927073,"{""type"":""Point"",""coordinates"":[-72.87415210524476,41.440495112561344]}"
0000000000000000002b,Scotland,SC,41.2769,false,SC_SRS_5,Salt_Rock_State_Forest,SRS,small,2017,-0.8693785245368335,-0.9282866818182187,-0.5707159886033331,-0.45577028736411446,-0.901462640362758,-0.7294064881356577,-0.7512666476514088,-0.5689948816772202,-0.680640153409134,-0.862729173111745,-0.48577806765683296,-0.46136483038452186,-0.9203517650559296,-0.7208688302791135,-0.933365304766027,-0.5894752156764537,-0.22534240616692436,-0.45732297356223794,-0.7636084415908388,-0.18578473339527077,-0.3641357963852484,-1.487619702024076,-1.3173250672862442,-1.198053296978597,-0.9155438870082238,-0.7738853522209929,-0.7974181405486686,-0.5020093815921814,-0.3147613484741818,-1.0868223721957637,-0.9166956951986888,-1.0083756278885054,-0.7958217534396411,"{""type"":""Point"",""coordinates"":[-72.09216401260302,41.63697202317829]}"
0000000000000000002c,Scotland,SC,41.2769,false,SC_SRS_6,Salt_Rock_State_Forest,SRS,small,2017,-0.5365499165669037,-0.6849227269831383,-0.12818223178299726,-0.20284689115758767,-0.852834185215723,-0.7861292510958414,-0.5726803822389517,-0.5946851340943484,-0.53881871797468,-0.7098250332031105,-0.2704184083672714,-0.33414236115738877,-0.964625499412185,-0.7143125846374657,-0.73608065304828,-0.5183510808229609,-0.4930139842786287,0.4072199579358957,-0.20911202070267473,0.6717568243989085,0.14411613723600555,-0.897185588764124,-0.7116119702782913,-0.48634016543629227,-0.3702763153213329,-0.46601313754749746,-0.5684436733599029,-0.0774212300806375,-0.0970786745990081,-1.0154440474051114,-0.9052282236690723,-0.8181188524083626,-0.7703513716715584,"{""type"":""Point"",""coordinates"":[-72.09134799711023,41.63791735260161]}"
0000000000000000002d,Scotland,SC,41.2769,false,SC_SRS_7,Salt_Rock_State_Forest,SRS,small,2017,-0.47364596306978035,-0.7436568407755201,-0.06785505979241432,-0.2220131569872578,-0.5616228240754314,-0.5352171006793031,-0.3216991259673816,-0.32997117752963423,-0.5943071246337168,-0.8066312187949822,-0.3751729656243686,-0.44569837881081587,-0.6561135902418095,-0.503185710080939,-0.5416552720338458,-0.35288919520453527,-0.3842157313698216,0.27085564946566765,-0.38907154957012996,0.5548252489569544,-0.04006703389800719,-0.7934736380087715,-0.7858979918050919,-0.4827376257201323,-0.41663803511441494,-0.37855801652190274,-0.6670754884050442,0.008620355110690148,-0.13999789988408998,-0.7514072470245624,-0.6803994606893218,-0.5488293090966174,-0.5104097076493401,"{""type"":""Point"",""coordinates"":[-72.090661295548,41.63691405486459]}"
00000000000000000022,NyeHolman,NH,5.6694,false,NH_TCS_5,NyeHolman_TroopCsmall,TCS,small,2017,-0.8895692695661359,-0.5946965001099048,-0.5963730686516707,-0.2829791013230171,-0.7271869084181326,-0.6376545407596504,-0.5138329795939504,-0.4062136242304938,-0.45764908513444225,-0.37845697507978016,-0.2636863445949412,-0.1385814898719796,-0.7757940876663907,-0.5123444618902612,-0.6948250886370076,-0.3439573474922449,-0.6995112475226907,0.3143536154728238,-0.263024926923459,0.4597930015716091,0.024176618636364687,-0.8367985072922044,-0.5983113294746988,-0.5555865716036145,-0.2672003421624589,-0.9089274279350552,-0.6293639076001033,-0.6179771359108713,-0.3128961552079425,-0.8808873076170146,-0.7480556909948334,-0.7165057782109538,-0.5594556168887523,"{""type"":""Point"",""coordinates"":[-72.32604386285625,41.883778807385454]}"
00000000000000000023,NyeHolman,NH,5.6694,false,NH_TCS_6,NyeHolman_TroopCsmall,TCS,small,2017,-0.7644285952366286,-0.4961082361736218,-0.43869713699171553,-0.259690754132003,-0.7533468662659655,-0.571776493937389,-0.4421336853460603,-0.32261408235330624,-0.4156799057294626,-0.29868120613946225,-0.18959653490100126,-0.11240690456617347,-0.6790939139037725,-0.4176533131818182,-0.4996628060108796,-0.24485763625543122,-0.27230091655955596,0.18543751920596693,-0.4264623567759953,0.3484983569104332,-0.1580960840817535,-0.9983143631403908,-0.6372300745439501,-0.6219357564719277,-0.2855075569615892,-0.7966115271098313,-0.5445616752381615,-0.4758403536149163,-0.30694219865160394,-0.9311535499604898,-0.7114919739435651,-0.6482574842643111,-0.5030718815311803,"{""type"":""Point"",""coordinates"":[-72.32683758284377,41.884733055010905]}"
