"baseline","R2_marginal","R2_conditional","AIC","dAIC","df","weight"
"m_tcg_2000_2010_h12_full",0.429829625891653,0.867791402009807,540.950946567322,0,4,0.252927032658492
"m_reanalysis",0.438437616545709,0.865679630210763,541.549637268703,0.598690701381202,4,0.187495658031076
"m_tcg_2000_2010_h13_full",0.419905460539189,0.862885862456821,542.023693839347,1.07274727202514,4,0.147928256470109
"m_tcg_2000_2010_h12_16d",0.398885874381543,0.859108924914671,543.607729552638,2.65678298531691,4,0.0670011340928648
"m_evi_2000_2010_h12_full",0.393009196817025,0.863398324844729,544.230542505263,3.27959593794094,4,0.049072709700245
"m_evi_2000_2010_h13_full",0.392674985497097,0.85822939420546,544.316885704144,3.36593913682202,4,0.046999241827696
"m_sr_2005_2015_h13_16d",0.471048808694788,0.853466190114967,544.744617242786,3.79367067546491,4,0.0379498556798873
"m_sr_2000_2010_h12_16d",0.455050915093563,0.844469079474318,544.842420890788,3.8914743234667,4,0.0361386842304449
"m_tcg_2000_2010_h13_16d",0.392521812013029,0.862252468528825,544.873888106781,3.92294153945932,4,0.0355745419733923
"m_evi_2000_2010_h12_16d",0.383179837900567,0.863308567629385,545.390896068295,4.4399495009734,4,0.0274708732322021
"m_sr_2000_2010_h13_16d",0.442343883958477,0.843178191267645,546.141433751088,5.19048718376644,4,0.0188753614907993
"m_evi_2000_2010_h13_16d",0.373866189302346,0.8627545654126,546.415533329113,5.46458676179191,4,0.0164579337827834
"m_tcg_2005_2015_h13_16d",0.386909692381482,0.852088102398171,546.686454741395,5.73550817407386,4,0.0143729353943628
"m_evi_2005_2015_h13_16d",0.363022901747223,0.85043082271881,547.955824351042,7.00487778372019,4,0.00761912967125967
"m_sr_2005_2015_h13_full",0.45636660336309,0.832980550877575,548.130816001895,7.1798694345739,4,0.00698081953224417
"m_sr_2005_2015_h12_16d",0.433047450193307,0.850244019413701,548.427398588558,7.4764520212367,4,0.00601872250329928
"m_tcg_2005_2015_h13_full",0.384064886384583,0.839585510759454,548.514745963047,7.56379939572582,4,0.00576152006924362
"m_tcg_2005_2015_h12_full",0.403127826309799,0.848961809313188,548.641648962437,7.69070239511507,4,0.00540729972214466
"m_sr_2005_2015_h12_full",0.43732075157351,0.840787198261589,548.984907513972,8.03396094665004,4,0.00455452190782436
"m_ndvi_2000_2010_h13_16d",0.35262711162055,0.859198144452326,549.269245648715,8.31829908139389,4,0.0039509319902015
"m_tcg_2005_2015_h12_16d",0.376481748384703,0.856122141114427,549.526010563602,8.57506399628062,4,0.00347491160236562
"m_evi_2005_2015_h13_full",0.35914191358554,0.839646720744846,549.595435666294,8.64448909897271,4,0.00335635810623116
"m_sr_2000_2010_h13_full",0.408461077230482,0.83728953921899,549.635394382545,8.68444781522328,4,0.0032899656732285
"m_sr_2000_2010_h12_full",0.406833998945171,0.839883941053656,549.708264026058,8.75731745873634,4,0.00317225378767601
"m_ndvi_2000_2010_h12_16d",0.346806452195154,0.849575372199976,550.047036523702,9.09608995638007,4,0.00267796200803603
"m_ndvi_2005_2015_h13_16d",0.340064428046338,0.849730615486269,551.070393838412,10.1194472710906,4,0.00160540715432803
"m_evi_2005_2015_h12_full",0.361567062249716,0.849212510786732,551.137021052683,10.1860744853612,4,0.00155280627815709
"m_evi_2005_2015_h12_16d",0.342890253341661,0.855027016044352,551.632619169725,10.6816726024039,4,0.00121199133400832
"m_ndvi_2000_2010_h13_full",0.314019898707207,0.838023299685195,553.22550739079,12.2745608234688,4,0.00054652273394186
"m_ndvi_2005_2015_h13_full",0.321984902987305,0.832831768930599,554.170853027551,13.2199064602297,4,0.000340666191585898
"m_ndvi_2000_2010_h12_full",0.29372286499217,0.838157516906785,555.513670563604,14.562723996282,4,0.000174076406301531
"m_ndvi_2005_2015_h12_full",0.266433087181196,0.837562930048348,559.528277707396,18.5773311400749,4,2.33872440488305e-05
"m_ndvi_2005_2015_h12_16d",0.246258911275757,0.847429189398877,560.222605520196,19.2716589528742,4,1.65275195187376e-05
