"baseline","R2_marginal","R2_conditional","AIC","dAIC","df","weight"
"m_ndvi_2000_2010_h13_16d",0.0922206088151495,0.77670428516669,823.004603671116,0,4,0.538717382017396
"m_ndvi_2000_2010_h13_full",0.0540637922801056,0.774621151826075,826.786018547468,3.78141487635241,4,0.0813274548509013
"m_ndvi_2000_2010_h12_16d",0.0265638606327647,0.790574154864103,828.559253708973,5.55465003785753,4,0.0335107430954348
"m_sr_2000_2010_h13_16d",0.0303223211413392,0.773761738622825,828.77920015736,5.77459648624449,4,0.0300208713863251
"m_ndvi_2000_2010_h12_full",0.0293740903638823,0.786819015047327,829.031730108831,6.02712643771531,4,0.0264598337846609
"m_sr_2000_2010_h12_16d",0.0218079675050785,0.778814635676465,829.482113370632,6.4775096995163,4,0.0211245579167758
"m_evi_2000_2010_h13_16d",0.0228917280332652,0.779865200683366,829.534569540801,6.52996586968538,4,0.0205777040281285
"m_sr_2005_2015_h13_16d",0.0226667169939919,0.774877859321558,830.022254490752,7.0176508196364,4,0.0161249165253779
"m_tcg_2005_2015_h13_16d",0.0251894817981488,0.782014746007761,830.059172564109,7.05456889299273,4,0.015829996444212
"m_evi_2005_2015_h13_16d",0.0224584527465589,0.784952486513877,830.153760223786,7.14915655267032,4,0.01509876299238
"m_tcg_2000_2010_h13_16d",0.0171625414898902,0.778181463439482,830.300631116203,7.29602744508725,4,0.0140297120948378
"m_sr_2005_2015_h12_16d",0.0187534419181281,0.777986089179996,830.413700983937,7.40909731282136,4,0.0132585475075211
"m_sr_2000_2010_h13_full",0.0163450041258888,0.774882669491054,830.465814584336,7.46121091322061,4,0.0129175343344555
"m_sr_2000_2010_h12_full",0.0140939006511755,0.776824423971646,830.668934481777,7.664330810661,4,0.011670049529183
"m_evi_2000_2010_h12_16d",0.0109104832491916,0.785546843844869,830.701326767461,7.69672309634552,4,0.0114825621248026
"m_evi_2000_2010_h13_full",0.0125874847332759,0.785253476217674,830.729776616335,7.72517294521879,4,0.0113203797966892
"m_ndvi_2005_2015_h13_16d",0.0151778253793209,0.765854146711494,830.741988731455,7.73738506033931,4,0.0112514675113471
"m_evi_2000_2010_h12_full",0.0100199248061785,0.786336528989588,830.923672442867,7.91906877175086,4,0.0102744138229174
"m_tcg_2005_2015_h12_16d",0.0134807944805008,0.783382904299226,831.09306309285,8.08845942173457,4,0.00944005102089475
"m_evi_2005_2015_h12_16d",0.012305907039951,0.786951702178112,831.113716274837,8.10911260372143,4,0.00934306908327897
"m_tcg_2000_2010_h12_16d",0.00754709992869095,0.783576358998362,831.271961646694,8.26735797557853,4,0.00863230972189582
"m_ndvi_2005_2015_h13_full",0.0116921980131629,0.762601196474803,831.336420450325,8.33181677920868,4,0.00835853110204473
"m_tcg_2000_2010_h13_full",0.00761799109148384,0.783216020539014,831.402362906502,8.39775923538627,4,0.00808743383033305
"m_tcg_2000_2010_h12_full",0.00573118919208078,0.784050248315237,831.583024449206,8.5784207780905,4,0.00738891354118231
"m_evi_2005_2015_h13_full",0.00641476746366086,0.778842602495967,831.727903151857,8.72329948074071,4,0.00687259219065811
"m_sr_2005_2015_h13_full",0.00609507180458148,0.77499197664329,831.72902399999,8.72442032887443,4,0.00686874170364631
"m_tcg_2005_2015_h13_full",0.00610259819049582,0.77829471733826,831.783953309385,8.77934963826908,4,0.00668266110098161
"m_sr_2005_2015_h12_full",0.00461101333047022,0.777809333534659,831.840322383803,8.83571871268714,4,0.00649694287553407
"m_reanalysis",0.00249321065280017,0.782007322253623,832.077069933499,9.07246626238305,4,0.00577164978680628
"m_evi_2005_2015_h12_full",0.000996798976663951,0.78247534105763,832.223918427673,9.21931475655731,4,0.00536305468939865
"m_tcg_2005_2015_h12_full",0.000791264210243676,0.782201803049067,832.250654728429,9.24605105731314,4,0.0052918376484636
"m_ndvi_2005_2015_h12_16d",0.000677147409185641,0.781172469856107,832.252702689231,9.248099018115,4,0.00528642168382072
"m_ndvi_2005_2015_h12_full",8.35671646672892e-05,0.786116459709996,832.317106617518,9.31250294640199,4,0.00511890025771461
